Tempo:3373; Processos:1; Repeticoes:1000; Tamanho:1000 ; Resultado:500.000000
Tempo:5543; Processos:1; Repeticoes:1000; Tamanho:1000 ; Resultado:500.000000
Tempo:5365; Processos:1; Repeticoes:1000; Tamanho:1000 ; Resultado:500.000000
Tempo:10504; Processos:1; Repeticoes:1000; Tamanho:1000 ; Resultado:500.000000
Tempo:11042; Processos:1; Repeticoes:1000; Tamanho:1000 ; Resultado:500.000000
Tempo:4327; Processos:1; Repeticoes:1000; Tamanho:1000 ; Resultado:500.000000
Tempo:10273; Processos:1; Repeticoes:1000; Tamanho:1000 ; Resultado:500.000000
Tempo:8188; Processos:1; Repeticoes:1000; Tamanho:1000 ; Resultado:500.000000
Tempo:5450; Processos:1; Repeticoes:1000; Tamanho:1000 ; Resultado:500.000000
Tempo:8809; Processos:1; Repeticoes:1000; Tamanho:1000 ; Resultado:500.000000
Tempo:13140; Processos:1; Repeticoes:2000; Tamanho:1000 ; Resultado:500.000000
Tempo:13678; Processos:1; Repeticoes:2000; Tamanho:1000 ; Resultado:500.000000
Tempo:11790; Processos:1; Repeticoes:2000; Tamanho:1000 ; Resultado:500.000000
Tempo:14953; Processos:1; Repeticoes:2000; Tamanho:1000 ; Resultado:500.000000
Tempo:13384; Processos:1; Repeticoes:2000; Tamanho:1000 ; Resultado:500.000000
Tempo:12888; Processos:1; Repeticoes:2000; Tamanho:1000 ; Resultado:500.000000
Tempo:8335; Processos:1; Repeticoes:2000; Tamanho:1000 ; Resultado:500.000000
Tempo:15135; Processos:1; Repeticoes:2000; Tamanho:1000 ; Resultado:500.000000
Tempo:12333; Processos:1; Repeticoes:2000; Tamanho:1000 ; Resultado:500.000000
Tempo:13787; Processos:1; Repeticoes:2000; Tamanho:1000 ; Resultado:500.000000
Tempo:11344; Processos:1; Repeticoes:3000; Tamanho:1000 ; Resultado:500.000000
Tempo:17667; Processos:1; Repeticoes:3000; Tamanho:1000 ; Resultado:500.000000
Tempo:10499; Processos:1; Repeticoes:3000; Tamanho:1000 ; Resultado:500.000000
Tempo:16984; Processos:1; Repeticoes:3000; Tamanho:1000 ; Resultado:500.000000
Tempo:16050; Processos:1; Repeticoes:3000; Tamanho:1000 ; Resultado:500.000000
Tempo:9673; Processos:1; Repeticoes:3000; Tamanho:1000 ; Resultado:500.000000
Tempo:9668; Processos:1; Repeticoes:3000; Tamanho:1000 ; Resultado:500.000000
Tempo:16446; Processos:1; Repeticoes:3000; Tamanho:1000 ; Resultado:500.000000
Tempo:15906; Processos:1; Repeticoes:3000; Tamanho:1000 ; Resultado:500.000000
Tempo:10522; Processos:1; Repeticoes:3000; Tamanho:1000 ; Resultado:500.000000
Tempo:20152; Processos:1; Repeticoes:4000; Tamanho:1000 ; Resultado:500.000000
Tempo:13193; Processos:1; Repeticoes:4000; Tamanho:1000 ; Resultado:500.000000
Tempo:19310; Processos:1; Repeticoes:4000; Tamanho:1000 ; Resultado:500.000000
Tempo:20354; Processos:1; Repeticoes:4000; Tamanho:1000 ; Resultado:500.000000
Tempo:14607; Processos:1; Repeticoes:4000; Tamanho:1000 ; Resultado:500.000000
Tempo:20800; Processos:1; Repeticoes:4000; Tamanho:1000 ; Resultado:500.000000
Tempo:21284; Processos:1; Repeticoes:4000; Tamanho:1000 ; Resultado:500.000000
Tempo:14967; Processos:1; Repeticoes:4000; Tamanho:1000 ; Resultado:500.000000
Tempo:18874; Processos:1; Repeticoes:4000; Tamanho:1000 ; Resultado:500.000000
Tempo:19206; Processos:1; Repeticoes:4000; Tamanho:1000 ; Resultado:500.000000
Tempo:35965; Processos:1; Repeticoes:1000; Tamanho:10000 ; Resultado:5000.000000
Tempo:36291; Processos:1; Repeticoes:1000; Tamanho:10000 ; Resultado:5000.000000
Tempo:34954; Processos:1; Repeticoes:1000; Tamanho:10000 ; Resultado:5000.000000
Tempo:44546; Processos:1; Repeticoes:1000; Tamanho:10000 ; Resultado:5000.000000
Tempo:33993; Processos:1; Repeticoes:1000; Tamanho:10000 ; Resultado:5000.000000
Tempo:38984; Processos:1; Repeticoes:1000; Tamanho:10000 ; Resultado:5000.000000
Tempo:40447; Processos:1; Repeticoes:1000; Tamanho:10000 ; Resultado:5000.000000
Tempo:39024; Processos:1; Repeticoes:1000; Tamanho:10000 ; Resultado:5000.000000
Tempo:33909; Processos:1; Repeticoes:1000; Tamanho:10000 ; Resultado:5000.000000
Tempo:39416; Processos:1; Repeticoes:1000; Tamanho:10000 ; Resultado:5000.000000
Tempo:70120; Processos:1; Repeticoes:2000; Tamanho:10000 ; Resultado:5000.000000
Tempo:65540; Processos:1; Repeticoes:2000; Tamanho:10000 ; Resultado:5000.000000
Tempo:63588; Processos:1; Repeticoes:2000; Tamanho:10000 ; Resultado:5000.000000
Tempo:71384; Processos:1; Repeticoes:2000; Tamanho:10000 ; Resultado:5000.000000
Tempo:69709; Processos:1; Repeticoes:2000; Tamanho:10000 ; Resultado:5000.000000
Tempo:70333; Processos:1; Repeticoes:2000; Tamanho:10000 ; Resultado:5000.000000
Tempo:65247; Processos:1; Repeticoes:2000; Tamanho:10000 ; Resultado:5000.000000
Tempo:71082; Processos:1; Repeticoes:2000; Tamanho:10000 ; Resultado:5000.000000
Tempo:73448; Processos:1; Repeticoes:2000; Tamanho:10000 ; Resultado:5000.000000
Tempo:68444; Processos:1; Repeticoes:2000; Tamanho:10000 ; Resultado:5000.000000
Tempo:101988; Processos:1; Repeticoes:3000; Tamanho:10000 ; Resultado:5000.000000
Tempo:101512; Processos:1; Repeticoes:3000; Tamanho:10000 ; Resultado:5000.000000
Tempo:101871; Processos:1; Repeticoes:3000; Tamanho:10000 ; Resultado:5000.000000
Tempo:97117; Processos:1; Repeticoes:3000; Tamanho:10000 ; Resultado:5000.000000
Tempo:97211; Processos:1; Repeticoes:3000; Tamanho:10000 ; Resultado:5000.000000
Tempo:100212; Processos:1; Repeticoes:3000; Tamanho:10000 ; Resultado:5000.000000
Tempo:97560; Processos:1; Repeticoes:3000; Tamanho:10000 ; Resultado:5000.000000
Tempo:97332; Processos:1; Repeticoes:3000; Tamanho:10000 ; Resultado:5000.000000
Tempo:96560; Processos:1; Repeticoes:3000; Tamanho:10000 ; Resultado:5000.000000
Tempo:101411; Processos:1; Repeticoes:3000; Tamanho:10000 ; Resultado:5000.000000
Tempo:134525; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:128363; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:132660; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:135173; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:126873; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:134746; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:132959; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:134226; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:134236; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:128513; Processos:1; Repeticoes:4000; Tamanho:10000 ; Resultado:5000.000000
Tempo:319267; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:319972; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:321417; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:324621; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:318745; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:320079; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:319698; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:321679; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:317075; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:323409; Processos:1; Repeticoes:1000; Tamanho:100000 ; Resultado:50000.000000
Tempo:637124; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:640773; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:635457; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:641638; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:639340; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:641160; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:640912; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:637144; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:634727; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:639388; Processos:1; Repeticoes:2000; Tamanho:100000 ; Resultado:50000.000000
Tempo:953234; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:955906; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:958108; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:955913; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:978693; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1015179; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:957218; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:952730; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:953381; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:994102; Processos:1; Repeticoes:3000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1274960; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1273870; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1276904; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1276452; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1271418; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1270708; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1275986; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1274761; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1273430; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:1275951; Processos:1; Repeticoes:4000; Tamanho:100000 ; Resultado:50000.000000
Tempo:3482391; Processos:1; Repeticoes:1000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:3484760; Processos:1; Repeticoes:1000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:3480949; Processos:1; Repeticoes:1000; Tamanho:1000000 ; Resultado:500000.000000
Tempo:3484651; Processos:1; Repeticoes:1000; Tamanho:1000000 ; Resultado:500000.000000
